"filename", "language", "TypeScript", "Properties", "Markdown", "JSON", "HTML", "XML", "JavaScript", "JSON with Comments", "TypeScript React", "vue", "CSS", "YAML", "comment", "blank", "total"
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/client/ClientCases.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/client/ClientHeader.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/client/ClientOverview.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 0, 11, 335
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/client/ClientSidebar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 3, 39
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/client/appointments/ClientAppointmentDetails.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 6, 33
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/client/appointments/ClientAppointmments.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 516, 0, 0, 22, 32, 570
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/client/calendar/ClientCalendar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/client/profile/ClientEditProfile.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/client/profile/ClientViewProfile.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/client/schedules/ClientScheduleCreate.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 8, 128
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/client/schedules/ClientScheduleEdit.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/client/schedules/ClientScheduleView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/client/schedules/ClientSchedules.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 342, 0, 0, 1, 9, 352
